product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
4244733e06e7ecb4970a6e2683c13e61,perfumery,40,287,1,225,16,10,14
e5f2d52b802189ee658865ca93d83a8f,art,44,276,1,1000,30,18,20
c777355d18b72b67abbeef9df44fd0fd,sports_leisure,46,250,1,154,18,9,15
7634da152a4610f1595efa32f14722fc,baby,27,261,1,371,26,4,26
ac6c3623068f30de03045865e4e10089,housewares,37,402,4,625,20,17,13
ef92defde845ab8450f9d70c526ef70f,musical_instruments,60,745,1,200,38,5,11
8d4f2bb7e93e6710a28f34fa83ee7d28,cool_stuff,56,1272,4,18350,70,24,44
557d850972a7d6f792fd18ae1400d9b6,furniture_decor,56,184,2,900,40,8,40
310ae3c140ff94b03219ad0adc3c778f,home_appliances,57,163,1,400,27,13,17
4535b0e1091c278dfd193e5a1d63b39f,toys,36,1156,1,600,17,10,12
d63c1011f49d98b976c352955b1c4bea,bed_bath_table,54,630,1,1100,16,10,16
f177554ea93259a5b282f24e33f65ab6,baby,49,728,4,7150,50,19,45
99a4788cb24856965c36a24e339b6058,musical_instruments,43,1827,3,250,17,7,17
368c6c730842d78016ad823897a372db,furniture_decor,51,2083,2,600,68,11,13
368c6c730842d78016ad823897a372db,construction_tools_safety,59,1602,4,200,17,7,17
8cab8abac59158715e0d70a36c807415,sports_leisure,22,3021,1,800,16,2,11
3f27ac8e699df3d300ec4a5d8c5cf0b2,perfumery,39,346,2,400,27,5,20
4fa33915031a8cde03dd0d3e8fb27f01,computers_acessories,59,636,1,900,40,15,20
b50c950aba0dcead2c48032a690ce817,furniture_decor,56,296,2,1700,100,7,15
5ed9eaf534f6936b51d0b6c5e4d5c2e9,bed_bath_table,52,206,1,500,16,10,16
553e0e7590d3116a072507a3635d2877,furniture_decor,27,158,4,2550,29,24,45
57d79905de06d8897872c551bfd09358,bed_bath_table,27,329,2,800,36,8,16
1c05e0964302b6cf68ca0d15f326c6ba,health_beauty,58,1987,3,75,21,7,13
5d7c23067ed3fc8c6e699b9373d5890b,baby,55,1627,1,500,20,13,13
5a419dbf24a8c9718fe522b81c69f61a,furniture_decor,56,209,1,1800,40,10,30
21b1c2f67a9aafb5af0eb06c13b9dbda,housewares,52,968,1,900,50,5,50
c389f712c4b4510bc997cee93e8b1a28,luggage_acessories,52,573,5,3600,35,25,50
1c0c0093a48f13ba70d0c6b0a9157cb7,computers_acessories,35,1101,2,300,42,2,30
89321f94e35fc6d7903d36f74e351d40,computers_acessories,59,1890,2,740,23,13,13
38afdf723b95d455b418a0f57d623c6b,sports_leisure,50,529,2,3600,62,23,23
672e757f331900b9deea127a2a7b79fd,bed_bath_table,45,206,1,650,16,10,16
28b4eced95a52d9c437a4caf9d311b95,garden_tools,49,1163,9,2150,70,8,34
e95ee6822b66ac6058e2e4aff656071a,furniture_decor,60,208,1,800,40,10,34
e95ee6822b66ac6058e2e4aff656071a,office_furniture,57,476,1,8950,52,51,17
e95ee6822b66ac6058e2e4aff656071a,sports_leisure,50,699,4,1388,34,9,31
23365beed316535b4105bd800c46670e,baby,52,708,9,7950,33,30,44
50fd2b788dc166edd20512370dac54df,auto,43,1062,2,6000,87,3,42
b10eba910a974df70b8a12d0665cdb9e,electronics,31,806,1,263,18,12,16
4089861a1bd4685da70bddd6b4f974f1,housewares,37,352,1,3900,19,20,15
fe59a1e006df3ac42bf0ceb876d70969,furniture_decor,47,502,1,600,25,25,25
c6dd917a0be2a704582055949915ab32,furniture_decor,63,254,2,2050,49,13,41
28b4eced95a52d9c437a4caf9d311b95,toys,33,471,2,725,22,17,15
0b0172eb0fd18479d29c3bc122c058c2,bed_bath_table,56,509,4,6350,45,15,35
0b0172eb0fd18479d29c3bc122c058c2,baby,47,980,4,600,70,11,11
0b0172eb0fd18479d29c3bc122c058c2,cool_stuff,38,1701,2,11750,18,40,79
dbaee28f4ee64465838a229582d77520,toys,20,866,3,2550,22,32,38
dbb67791e405873b259e4656bf971246,cool_stuff,38,1176,3,15350,47,40,47
84f456958365164420cfc80fbe4c7fab,furniture_decor,42,303,2,1300,25,16,25
e67307ff0f15ade43fcb6e670be7a74c,furniture_decor,60,1972,2,850,69,11,11
e67307ff0f15ade43fcb6e670be7a74c,health_beauty,60,330,1,1300,19,28,17
30c01cc81c9eb80469371743813789cc,sports_leisure,53,3218,5,4800,60,30,15
777d2e438a1b645f3aec9bd57e92672c,cool_stuff,55,410,2,1300,36,16,24
884fa3cd42986ba480ea2f8ae4e25ff7,auto,57,311,1,220,18,14,17
bdcf6a834e8faa30dac3886c7a58e92e,baby,50,509,4,5700,41,17,49
a5341e3f8155dbb3e62323d3ea289729,luggage_acessories,53,1291,2,450,20,40,30
e19ddcc85537b41f22116c8d5425ef46,fashion_shoes,60,402,2,2000,32,12,37
e6b6e13cf71449a457269f425b89dc74,telephony,51,427,2,100,19,3,11
13fcfc313dfb2217e5ee3000a702f9ef,cool_stuff,58,1252,1,1100,30,20,23
4e3f399366b0047a572b6682f9bb166e,stationery,49,488,3,1400,38,40,39
18901878788fec7ddc55e64d1ace8187,toys,50,423,4,250,20,14,12
0c4d0a08f95c7b7dc5dc7402bfdafd4c,sports_leisure,47,956,1,1050,25,20,14
35537536ed2b4c561b4018bf3abf54e0,stationery,59,144,1,500,24,7,16
fe077ec80df6b4ee60bb4498d5ab1962,health_beauty,51,1069,1,1467,23,16,20
430d215740da7fdda91cc938f8fd92f6,fashion_bags_acessories,50,554,3,100,16,5,11
892832da5b05b0f54578e1f14f193c22,stationery,41,92,1,100,16,5,16
6490b9f63b0b595e1c1402b46b0f50ad,stationery,43,198,2,300,23,7,15
71c89e9d8fa274b017279aa322cd0e19,sports_leisure,50,255,2,950,60,15,15
